"State"	"Customer Lifetime Value"	"Coverage"	"Education"	"EmploymentStatus"	"Gender"	"Income"	"Monthly Premium Auto"	"Months Since Last Claim"	"Months Since Policy Inception"	"Number of Open Complaints"	"Number of Policies"	"Policy Type"	"Total Claim Amount"	"Vehicle Class"	"Vehicle Size"
"36"	"California"	13891.73567	"Premium"	"Bachelor"	"Employed"	"M"	42305	117	10	62	0	2	"Personal Auto"	561.6	"Four-Door Car"	"Small"
"37"	"Oregon"	7380.976717	"Extended"	"Master"	"Employed"	"F"	65706	91	19	86	0	8	"Personal Auto"	436.8	"Four-Door Car"	"Small"
"38"	"Oregon"	3090.034104	"Extended"	"Bachelor"	"Unemployed"	"M"	0	90	7	79	0	1	"Personal Auto"	648	"Two-Door Car"	"Small"
"39"	"Arizona"	2521.633095	"Basic"	"High School or Below"	"Employed"	"M"	53243	66	4	15	2	1	"Personal Auto"	157.397849	"Four-Door Car"	"Medsize"
"40"	"Nevada"	2652.061785	"Basic"	"High School or Below"	"Unemployed"	"F"	0	70	7	1	1	1	"Corporate Auto"	484.318536	"Two-Door Car"	"Medsize"
"41"	"Oregon"	2771.045031	"Basic"	"College"	"Employed"	"F"	50071	71	3	32	0	1	"Corporate Auto"	18.918935	"Two-Door Car"	"Medsize"
"42"	"California"	3939.00637	"Extended"	"Bachelor"	"Employed"	"F"	60021	99	12	28	0	1	"Personal Auto"	882.871945	"Four-Door Car"	"Small"
"43"	"Arizona"	12231.87968	"Basic"	"High School or Below"	"Employed"	"M"	43244	103	15	16	0	2	"Personal Auto"	494.4	"Sports Car"	"Medsize"
"44"	"Washington"	2443.665166	"Basic"	"College"	"Employed"	"M"	92834	61	15	56	0	1	"Special Auto"	292.8	"Four-Door Car"	"Large"
"45"	"Oregon"	12819.10289	"Premium"	"Doctor"	"Disabled"	"F"	10105	172	5	4	3	3	"Personal Auto"	0.517753	"SUV"	"Medsize"
"46"	"Arizona"	4468.510542	"Basic"	"Bachelor"	"Unemployed"	"M"	0	73	7	57	3	5	"Personal Auto"	579.165954	"Four-Door Car"	"Medsize"
"47"	"Oregon"	5514.344018	"Basic"	"High School or Below"	"Employed"	"F"	23218	71	7	10	0	4	"Personal Auto"	447.79344	"Two-Door Car"	"Medsize"
"48"	"California"	3343.875326	"Extended"	"Bachelor"	"Unemployed"	"F"	0	92	11	77	0	1	"Corporate Auto"	529.624084	"Four-Door Car"	"Medsize"
"49"	"Arizona"	2294.478927	"Basic"	"High School or Below"	"Unemployed"	"F"	0	62	11	56	0	1	"Personal Auto"	313.023175	"Four-Door Car"	"Medsize"
"50"	"Oregon"	36707.42639	"Basic"	"College"	"Employed"	"M"	24804	104	1	28	0	2	"Personal Auto"	593.830288	"SUV"	"Small"
"51"	"California"	33473.34946	"Basic"	"Bachelor"	"Employed"	"F"	33190	106	18	95	0	2	"Corporate Auto"	508.8	"SUV"	"Medsize"
"52"	"Nevada"	7983.431709	"Basic"	"High School or Below"	"Employed"	"F"	36014	69	4	40	3	2	"Special Auto"	173.956072	"Four-Door Car"	"Medsize"
"53"	"Washington"	4854.745666	"Basic"	"Bachelor"	"Employed"	"M"	29834	64	19	44	0	3	"Personal Auto"	307.2	"Four-Door Car"	"Medsize"
"54"	"California"	4293.997319	"Premium"	"Bachelor"	"Disabled"	"M"	16701	113	20	26	0	1	"Personal Auto"	831.625979	"Four-Door Car"	"Small"
"55"	"Arizona"	7164.395543	"Extended"	"College"	"Employed"	"F"	46623	91	1	53	0	3	"Corporate Auto"	436.8	"Four-Door Car"	"Small"
"56"	"California"	7619.5158	"Basic"	"College"	"Employed"	"M"	64749	64	24	59	0	2	"Special Auto"	302.56519	"Four-Door Car"	"Medsize"
"57"	"Arizona"	3958.002823	"Basic"	"High School or Below"	"Unemployed"	"F"	0	101	29	12	0	1	"Personal Auto"	484.8	"SUV"	"Small"
"58"	"Oregon"	4499.493252	"Extended"	"High School or Below"	"Disabled"	"F"	16969	124	34	47	2	1	"Personal Auto"	704.768111	"SUV"	"Medsize"
"59"	"Oregon"	4059.567414	"Premium"	"Master"	"Disabled"	"F"	11621	108	4	98	0	1	"Personal Auto"	518.4	"Four-Door Car"	"Medsize"
"60"	"Arizona"	4458.113369	"Basic"	"Bachelor"	"Retired"	"M"	17622	65	1	36	1	3	"Personal Auto"	312	"Four-Door Car"	"Medsize"
"61"	"California"	8110.333139	"Premium"	"Bachelor"	"Medical Leave"	"F"	11489	105	4	50	0	6	"Personal Auto"	504	"Two-Door Car"	"Small"
"62"	"Oregon"	3339.764873	"Extended"	"Bachelor"	"Unemployed"	"M"	0	94	20	53	0	1	"Personal Auto"	863.327324	"Two-Door Car"	"Small"
"63"	"California"	24261.01777	"Basic"	"High School or Below"	"Employed"	"F"	66525	100	0	86	0	2	"Personal Auto"	104.331355	"SUV"	"Medsize"
"64"	"Arizona"	6613.973653	"Basic"	"Bachelor"	"Unemployed"	"F"	0	63	21	28	0	2	"Personal Auto"	676.391482	"Four-Door Car"	"Large"
"65"	"Washington"	2930.693543	"Basic"	"College"	"Employed"	"M"	33663	73	29	71	0	1	"Personal Auto"	350.4	"Four-Door Car"	"Medsize"
"66"	"Oregon"	8672.194272	"Basic"	"College"	"Employed"	"F"	22547	112	7	60	0	3	"Corporate Auto"	537.6	"SUV"	"Medsize"
"67"	"Arizona"	11638.66926	"Extended"	"High School or Below"	"Employed"	"F"	61486	97	5	65	0	2	"Personal Auto"	465.258644	"Two-Door Car"	"Small"
"68"	"Oregon"	6846.150323	"Extended"	"Bachelor"	"Unemployed"	"F"	0	95	13	20	0	5	"Personal Auto"	456	"Two-Door Car"	"Large"
"69"	"California"	11727.77648	"Premium"	"College"	"Disabled"	"F"	29879	102	17	0	0	2	"Personal Auto"	500.254235	"Four-Door Car"	"Medsize"
"70"	"Oregon"	22643.83478	"Basic"	"High School or Below"	"Employed"	"M"	93011	113	17	12	0	2	"Personal Auto"	281.451042	"SUV"	"Medsize"
"71"	"Oregon"	2614.474305	"Basic"	"Master"	"Employed"	"M"	65186	65	29	27	0	1	"Personal Auto"	5.434505	"Two-Door Car"	"Large"
"72"	"Oregon"	2451.752695	"Basic"	"Master"	"Medical Leave"	"M"	26840	64	1	47	2	1	"Personal Auto"	307.2	"Four-Door Car"	"Medsize"
"73"	"Oregon"	4974.801539	"Basic"	"Bachelor"	"Employed"	"M"	75644	65	5	68	3	9	"Personal Auto"	467.803638	"Two-Door Car"	"Medsize"
"74"	"Oregon"	8591.604933	"Basic"	"Bachelor"	"Employed"	"M"	38984	73	27	38	0	2	"Personal Auto"	350.4	"Four-Door Car"	"Small"
"75"	"Oregon"	5592.161392	"Basic"	"High School or Below"	"Employed"	"F"	71811	71	17	48	0	6	"Personal Auto"	29.03416	"Four-Door Car"	"Medsize"
"76"	"Nevada"	8009.472833	"Basic"	"College"	"Employed"	"M"	20961	67	20	33	0	2	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"77"	"Washington"	11318.08982	"Extended"	"College"	"Employed"	"M"	38923	99	6	83	2	2	"Personal Auto"	115.728852	"Four-Door Car"	"Medsize"
"78"	"California"	58166.55351	"Basic"	"Bachelor"	"Employed"	"M"	61321	186	0	30	1	2	"Personal Auto"	427.63121	"Luxury Car"	"Small"
"79"	"California"	8025.229358	"Extended"	"College"	"Unemployed"	"F"	0	77	20	26	0	2	"Personal Auto"	25.807685	"Two-Door Car"	"Large"
"80"	"California"	5780.182197	"Basic"	"High School or Below"	"Employed"	"M"	51066	74	23	0	0	8	"Personal Auto"	787.993313	"Four-Door Car"	"Medsize"
"81"	"California"	4118.539113	"Basic"	"Doctor"	"Employed"	"M"	34378	102	12	54	0	1	"Personal Auto"	489.6	"SUV"	"Medsize"
"82"	"Nevada"	2523.07015	"Basic"	"Master"	"Employed"	"M"	43072	63	35	15	0	1	"Personal Auto"	302.4	"Four-Door Car"	"Large"
"83"	"Oregon"	6554.216396	"Extended"	"College"	"Disabled"	"F"	25222	90	28	69	0	3	"Personal Auto"	475.623251	"Four-Door Car"	"Small"
"84"	"Washington"	7703.397294	"Basic"	"High School or Below"	"Employed"	"M"	36765	66	15	32	1	2	"Personal Auto"	320.849072	"Four-Door Car"	"Medsize"
"85"	"California"	5926.729379	"Extended"	"College"	"Retired"	"M"	23091	96	28	90	5	5	"Personal Auto"	460.8	"Four-Door Car"	"Medsize"
"86"	"California"	2683.470677	"Basic"	"Bachelor"	"Employed"	"F"	48269	69	3	79	3	1	"Corporate Auto"	282.151207	"Four-Door Car"	"Medsize"
"87"	"Oregon"	2695.182419	"Basic"	"Bachelor"	"Employed"	"F"	32720	67	13	12	0	1	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"88"	"California"	6047.02516	"Extended"	"College"	"Employed"	"M"	20396	76	15	60	1	4	"Personal Auto"	364.8	"Four-Door Car"	"Medsize"
"89"	"Oregon"	13171.01282	"Premium"	"College"	"Medical Leave"	"M"	21513	119	21	81	1	2	"Personal Auto"	679.827592	"Two-Door Car"	"Small"
"90"	"Washington"	10656.88195	"Extended"	"Bachelor"	"Employed"	"F"	72540	88	7	3	0	2	"Corporate Auto"	631.743039	"Two-Door Car"	"Medsize"
"91"	"Oregon"	2527.653796	"Basic"	"Bachelor"	"Employed"	"F"	80744	63	24	84	0	1	"Corporate Auto"	11.879037	"Four-Door Car"	"Medsize"
"92"	"Oregon"	2672.095756	"Basic"	"Bachelor"	"Employed"	"M"	52822	67	23	88	0	1	"Corporate Auto"	350.529033	"Two-Door Car"	"Small"
"93"	"California"	5313.294035	"Extended"	"High School or Below"	"Unemployed"	"F"	0	77	8	10	1	9	"Personal Auto"	863.3947	"Four-Door Car"	"Medsize"
"94"	"Oregon"	20946.19251	"Basic"	"Bachelor"	"Employed"	"F"	69738	74	2	26	1	2	"Personal Auto"	492.127532	"Four-Door Car"	"Large"
"95"	"Arizona"	8375.353929	"Basic"	"Master"	"Medical Leave"	"F"	17780	109	12	18	0	9	"Personal Auto"	132.588288	"SUV"	"Medsize"
"96"	"California"	4801.661503	"Basic"	"Bachelor"	"Medical Leave"	"M"	18107	62	29	11	0	8	"Personal Auto"	297.6	"Four-Door Car"	"Medsize"
"97"	"Arizona"	5745.94334	"Basic"	"Bachelor"	"Employed"	"F"	57740	74	30	87	3	9	"Personal Auto"	269.905129	"Four-Door Car"	"Medsize"
"98"	"Oregon"	6066.115969	"Extended"	"College"	"Employed"	"M"	32627	76	11	60	0	7	"Personal Auto"	380.036697	"Two-Door Car"	"Small"
"99"	"California"	8002.308333	"Basic"	"College"	"Unemployed"	"F"	0	107	3	65	0	3	"Personal Auto"	513.6	"SUV"	"Medsize"
"100"	"California"	2393.915369	"Basic"	"College"	"Unemployed"	"M"	0	70	24	10	0	1	"Personal Auto"	425.266308	"Four-Door Car"	"Medsize"
"101"	"Oregon"	4762.8179	"Basic"	"Bachelor"	"Employed"	"M"	65795	62	2	85	1	3	"Corporate Auto"	49.011099	"Two-Door Car"	"Medsize"
"102"	"California"	4330.38602	"Premium"	"College"	"Employed"	"M"	60475	107	9	18	0	1	"Personal Auto"	513.6	"Four-Door Car"	"Medsize"
"103"	"Oregon"	6966.694527	"Extended"	"Bachelor"	"Employed"	"F"	41837	88	29	93	0	9	"Personal Auto"	142.062768	"Four-Door Car"	"Small"
"104"	"California"	7694.064293	"Basic"	"Bachelor"	"Employed"	"F"	32303	65	13	34	0	2	"Personal Auto"	45.152521	"Four-Door Car"	"Medsize"
"105"	"Oregon"	8717.561149	"Basic"	"High School or Below"	"Unemployed"	"M"	0	117	5	89	1	3	"Personal Auto"	561.6	"SUV"	"Medsize"
"106"	"California"	5928.748528	"Basic"	"Bachelor"	"Employed"	"F"	40531	74	17	32	0	9	"Personal Auto"	30.567357	"Two-Door Car"	"Medsize"
"107"	"Oregon"	2452.977288	"Basic"	"College"	"Employed"	"M"	79898	62	5	86	1	1	"Corporate Auto"	271.606799	"Four-Door Car"	"Medsize"
"108"	"California"	6701.571657	"Extended"	"College"	"Employed"	"M"	56398	85	4	18	0	7	"Personal Auto"	408	"Four-Door Car"	"Small"
"109"	"Washington"	7556.24034	"Extended"	"High School or Below"	"Employed"	"M"	35257	98	16	2	1	8	"Corporate Auto"	470.4	"Four-Door Car"	"Small"
"110"	"Arizona"	8492.6988	"Basic"	"College"	"Employed"	"M"	27804	109	19	54	0	7	"Personal Auto"	784.8	"SUV"	"Medsize"
"111"	"Oregon"	7713.494046	"Basic"	"Bachelor"	"Employed"	"M"	45506	66	16	32	2	2	"Personal Auto"	316.8	"Four-Door Car"	"Medsize"
"112"	"Washington"	24084.5352	"Basic"	"High School or Below"	"Employed"	"M"	65196	67	0	54	0	2	"Personal Auto"	396.082036	"Four-Door Car"	"Medsize"
"113"	"California"	7290.069769	"Basic"	"High School or Below"	"Unemployed"	"M"	0	102	11	70	1	3	"Corporate Auto"	489.6	"SUV"	"Medsize"
"114"	"Oregon"	4772.943848	"Extended"	"High School or Below"	"Retired"	"M"	20993	133	35	90	0	1	"Personal Auto"	638.4	"SUV"	"Medsize"
"115"	"Arizona"	6806.491395	"Extended"	"High School or Below"	"Employed"	"M"	37839	86	35	77	0	9	"Personal Auto"	465.633954	"Two-Door Car"	"Medsize"
"116"	"California"	2469.781334	"Basic"	"Bachelor"	"Employed"	"F"	92711	62	24	10	0	1	"Personal Auto"	368.400146	"Two-Door Car"	"Medsize"
"117"	"California"	3103.923041	"Extended"	"College"	"Employed"	"F"	74665	78	10	90	2	1	"Corporate Auto"	236.902001	"Four-Door Car"	"Medsize"
"118"	"Washington"	2981.875575	"Extended"	"College"	"Unemployed"	"M"	0	83	26	89	0	1	"Personal Auto"	582.679087	"Two-Door Car"	"Medsize"
"119"	"California"	8902.737595	"Basic"	"Bachelor"	"Employed"	"M"	46833	112	6	3	0	9	"Personal Auto"	64.109663	"Sports Car"	"Medsize"
"120"	"Oregon"	5499.447223	"Basic"	"High School or Below"	"Employed"	"F"	88768	68	17	77	0	7	"Personal Auto"	326.4	"Two-Door Car"	"Small"
"121"	"Nevada"	2509.107875	"Basic"	"Bachelor"	"Employed"	"F"	33555	63	17	11	0	1	"Personal Auto"	101.89645	"Four-Door Car"	"Medsize"
"122"	"Oregon"	31221.7481	"Premium"	"College"	"Employed"	"M"	42780	113	10	27	1	2	"Personal Auto"	542.4	"Four-Door Car"	"Medsize"
"123"	"Oregon"	3133.503432	"Extended"	"Master"	"Employed"	"F"	58850	78	20	26	0	1	"Personal Auto"	143.747794	"Four-Door Car"	"Medsize"
"124"	"Arizona"	3837.451863	"Extended"	"College"	"Employed"	"M"	21880	97	29	37	0	1	"Special Auto"	424.077159	"Four-Door Car"	"Medsize"
"125"	"Oregon"	11790.49617	"Basic"	"College"	"Retired"	"M"	25251	66	13	43	0	2	"Personal Auto"	316.8	"Four-Door Car"	"Medsize"
"126"	"Washington"	7838.068321	"Basic"	"Master"	"Unemployed"	"F"	0	69	9	12	0	2	"Personal Auto"	2.704934	"Four-Door Car"	"Medsize"
"127"	"Arizona"	4305.808345	"Basic"	"High School or Below"	"Employed"	"M"	24188	109	14	82	0	1	"Personal Auto"	523.2	"Sports Car"	"Medsize"
"128"	"Nevada"	5973.976904	"Basic"	"Bachelor"	"Employed"	"F"	41611	74	14	8	0	8	"Special Auto"	113.801497	"Four-Door Car"	"Medsize"
"129"	"Oregon"	5670.442396	"Basic"	"Bachelor"	"Employed"	"F"	28406	72	16	35	1	4	"Personal Auto"	192.87572	"Four-Door Car"	"Medsize"
"130"	"Arizona"	4731.749346	"Premium"	"College"	"Employed"	"M"	69833	118	32	99	0	1	"Personal Auto"	828.662719	"Four-Door Car"	"Small"
"131"	"Arizona"	8026.379641	"Basic"	"High School or Below"	"Unemployed"	"F"	0	74	15	91	0	2	"Corporate Auto"	532.8	"Four-Door Car"	"Small"
"132"	"Oregon"	9618.310865	"Basic"	"High School or Below"	"Employed"	"F"	80536	119	5	83	0	3	"Special Auto"	53.798708	"Sports Car"	"Medsize"
"133"	"Washington"	2274.775451	"Basic"	"College"	"Unemployed"	"F"	0	63	2	5	0	1	"Personal Auto"	606.642452	"Four-Door Car"	"Small"
"134"	"Oregon"	9552.926922	"Extended"	"College"	"Employed"	"F"	97732	79	0	70	0	2	"Personal Auto"	289.9122	"Four-Door Car"	"Medsize"
"135"	"Arizona"	10388.55323	"Extended"	"Bachelor"	"Employed"	"F"	61222	89	20	55	0	2	"Special Auto"	392.604371	"Four-Door Car"	"Small"
"136"	"Oregon"	2470.121222	"Basic"	"College"	"Unemployed"	"M"	0	74	7	20	0	1	"Personal Auto"	721.242206	"Two-Door Car"	"Large"
"137"	"Arizona"	5619.068508	"Premium"	"Master"	"Employed"	"M"	50335	140	9	54	0	1	"Personal Auto"	456.52385	"SUV"	"Medsize"
"138"	"Washington"	6692.143668	"Premium"	"High School or Below"	"Employed"	"M"	63221	168	28	49	0	1	"Corporate Auto"	806.4	"SUV"	"Medsize"
"139"	"Oregon"	3731.504584	"Extended"	"High School or Below"	"Unemployed"	"F"	0	96	31	34	0	1	"Personal Auto"	460.8	"Four-Door Car"	"Large"
"140"	"Nevada"	3660.770258	"Extended"	"Bachelor"	"Employed"	"M"	64495	92	34	30	0	1	"Corporate Auto"	251.992083	"Four-Door Car"	"Medsize"
"141"	"California"	7928.829252	"Basic"	"College"	"Unemployed"	"F"	0	72	7	75	0	2	"Corporate Auto"	345.6	"Four-Door Car"	"Medsize"
"142"	"Arizona"	5011.751577	"Basic"	"Bachelor"	"Employed"	"F"	28859	67	24	51	3	4	"Corporate Auto"	321.6	"Two-Door Car"	"Medsize"
"143"	"Arizona"	7988.258292	"Extended"	"High School or Below"	"Employed"	"F"	77330	99	0	21	0	3	"Personal Auto"	99.257608	"Four-Door Car"	"Medsize"
"144"	"Oregon"	3885.456401	"Premium"	"College"	"Unemployed"	"M"	0	105	3	92	0	1	"Corporate Auto"	504	"Four-Door Car"	"Large"
"145"	"Washington"	2659.337982	"Basic"	"Bachelor"	"Employed"	"M"	24495	70	29	65	0	1	"Personal Auto"	336	"Four-Door Car"	"Small"
"146"	"Washington"	8564.768226	"Basic"	"High School or Below"	"Employed"	"M"	95697	107	29	29	0	9	"Personal Auto"	178.006524	"Sports Car"	"Medsize"
"147"	"Arizona"	4885.162511	"Extended"	"High School or Below"	"Disabled"	"M"	26372	126	11	7	0	1	"Personal Auto"	604.8	"SUV"	"Medsize"
"148"	"Arizona"	9753.307106	"Extended"	"Bachelor"	"Medical Leave"	"F"	17514	127	2	5	0	3	"Personal Auto"	8.312729	"SUV"	"Medsize"
"149"	"California"	2946.153697	"Basic"	"Bachelor"	"Employed"	"F"	89270	74	17	90	0	1	"Personal Auto"	316.599228	"Four-Door Car"	"Medsize"
"150"	"California"	2581.110945	"Basic"	"High School or Below"	"Employed"	"M"	29757	65	13	55	0	1	"Personal Auto"	312	"Four-Door Car"	"Small"
"151"	"Oregon"	3517.385764	"Extended"	"College"	"Employed"	"M"	51814	92	28	89	0	1	"Personal Auto"	56.300724	"Four-Door Car"	"Medsize"
"152"	"Oregon"	9743.350113	"Extended"	"Bachelor"	"Employed"	"F"	24028	82	14	27	0	2	"Personal Auto"	393.6	"Four-Door Car"	"Small"
"153"	"Arizona"	3873.647046	"Basic"	"College"	"Retired"	"M"	28142	105	18	50	0	1	"Personal Auto"	701.708239	"Sports Car"	"Medsize"
"154"	"Arizona"	7649.28199	"Basic"	"Bachelor"	"Employed"	"F"	52705	64	14	8	1	2	"Personal Auto"	128.705563	"Two-Door Car"	"Large"
"155"	"California"	2287.59692	"Basic"	"High School or Below"	"Unemployed"	"M"	0	63	1	5	0	1	"Corporate Auto"	679.368378	"Two-Door Car"	"Medsize"
"156"	"Washington"	4475.424592	"Basic"	"College"	"Employed"	"F"	84903	111	7	63	0	1	"Personal Auto"	497.126827	"SUV"	"Medsize"
"157"	"California"	8714.922135	"Basic"	"College"	"Unemployed"	"F"	0	118	14	64	0	4	"Personal Auto"	566.4	"SUV"	"Medsize"
"158"	"Washington"	2248.449633	"Basic"	"Bachelor"	"Retired"	"F"	24910	63	7	63	1	1	"Personal Auto"	347.857619	"Four-Door Car"	"Medsize"
"159"	"California"	7416.197322	"Extended"	"Bachelor"	"Unemployed"	"M"	0	77	15	12	2	2	"Personal Auto"	554.4	"Four-Door Car"	"Medsize"
"160"	"Oregon"	7771.158973	"Basic"	"Master"	"Medical Leave"	"M"	21876	68	12	28	0	2	"Personal Auto"	465.41477	"Four-Door Car"	"Small"
"161"	"California"	6968.3419	"Basic"	"Bachelor"	"Unemployed"	"F"	0	69	33	61	1	2	"Personal Auto"	496.8	"Four-Door Car"	"Small"
"162"	"California"	4250.282624	"Basic"	"High School or Below"	"Unemployed"	"F"	0	61	17	1	1	7	"Personal Auto"	292.8	"Four-Door Car"	"Small"
"163"	"Oregon"	19776.56654	"Extended"	"High School or Below"	"Employed"	"F"	70699	82	1	57	0	2	"Personal Auto"	256.813837	"Four-Door Car"	"Medsize"
"164"	"California"	21343.46599	"Basic"	"High School or Below"	"Unemployed"	"F"	0	74	11	85	1	2	"Personal Auto"	355.2	"Four-Door Car"	"Medsize"
"165"	"California"	2413.139714	"Basic"	"College"	"Medical Leave"	"M"	27501	63	20	0	0	1	"Personal Auto"	542.319401	"Four-Door Car"	"Medsize"
"166"	"Oregon"	15363.84716	"Premium"	"Doctor"	"Disabled"	"F"	15897	101	30	99	0	2	"Personal Auto"	303.148399	"Four-Door Car"	"Medsize"
"167"	"Nevada"	8456.961887	"Basic"	"College"	"Employed"	"F"	25141	73	12	4	1	2	"Personal Auto"	25.438063	"Four-Door Car"	"Medsize"
"168"	"Nevada"	2189.642522	"Basic"	"College"	"Unemployed"	"F"	0	61	5	46	3	1	"Personal Auto"	292.8	"Four-Door Car"	"Small"
